Year,Factor,Value
1826,Other Industry CO2,0.0
1827,Cement CO2,0.0
1827,Coal CO2,0.065915
1827,Gas CO2,0.0
1827,Oil CO2,0.0
1827,Flaring CO2,0.0
1827,Other Industry CO2,0.0
1828,Cement CO2,0.0
1828,Coal CO2,0.066637
1828,Gas CO2,0.0
1828,Oil CO2,0.0
1828,Flaring CO2,0.0
1828,Other Industry CO2,0.0
1829,Cement CO2,0.0
1829,Coal CO2,0.066395
1829,Gas CO2,0.0
1829,Oil CO2,0.0
1829,Flaring CO2,0.0
1829,Other Industry CO2,0.0
1830,Cement CO2,0.0
1830,Coal CO2,0.08912300000000001
1830,Gas CO2,0.0
1830,Oil CO2,0.0
1830,Flaring CO2,0.0
1830,Other Industry CO2,0.0
1831,Cement CO2,0.0
1831,Coal CO2,0.084528
1831,Gas CO2,0.0
1831,Oil CO2,0.0
1831,Flaring CO2,0.0
1831,Other Industry CO2,0.0
1832,Cement CO2,0.0
1832,Coal CO2,0.085111
1832,Gas CO2,0.0
1832,Oil CO2,0.0
1832,Flaring CO2,0.0
1832,Other Industry CO2,0.0
1833,Cement CO2,0.0
1833,Coal CO2,0.086807
1833,Gas CO2,0.0
1833,Oil CO2,0.0
1833,Flaring CO2,0.0
1833,Other Industry CO2,0.0
1834,Cement CO2,0.0
1834,Coal CO2,0.08848600000000001
1834,Gas CO2,0.0
1834,Oil CO2,0.0
1834,Flaring CO2,0.0
1834,Other Industry CO2,0.0
1835,Cement CO2,0.0
1835,Coal CO2,0.090446
1835,Gas CO2,0.0
1835,Oil CO2,0.0
1835,Flaring CO2,0.0
1835,Other Industry CO2,0.0
1836,Cement CO2,0.0
1836,Coal CO2,0.104776
1836,Gas CO2,0.0
1836,Oil CO2,0.0
1836,Flaring CO2,0.0
1836,Other Industry CO2,0.0
1837,Cement CO2,0.0
1837,Coal CO2,0.104691
1837,Gas CO2,0.0
1837,Oil CO2,0.0
1837,Flaring CO2,0.0
1837,Other Industry CO2,0.0
1838,Cement CO2,0.0
1838,Coal CO2,0.108044
1838,Gas CO2,0.0
1838,Oil CO2,0.0
1838,Flaring CO2,0.0
1838,Other Industry CO2,0.0
1839,Cement CO2,0.0
1839,Coal CO2,0.111613
1839,Gas CO2,0.0
1839,Oil CO2,0.0
1839,Flaring CO2,0.0
1839,Other Industry CO2,0.0
1840,Cement CO2,0.0
1840,Coal CO2,0.11893000000000001
1840,Gas CO2,0.0
1840,Oil CO2,0.0
1840,Flaring CO2,0.0
1840,Other Industry CO2,0.0
1841,Cement CO2,0.0
1841,Coal CO2,0.122619
1841,Gas CO2,0.0
1841,Oil CO2,0.0
1841,Flaring CO2,0.0
1841,Other Industry CO2,0.0
1842,Cement CO2,0.0
1842,Coal CO2,0.12950399999999998
1842,Gas CO2,0.0
1842,Oil CO2,0.0
1842,Flaring CO2,0.0
1842,Other Industry CO2,0.0
1843,Cement CO2,0.0
1843,Coal CO2,0.132853
1843,Gas CO2,0.0
1843,Oil CO2,0.0
1843,Flaring CO2,0.0
1843,Other Industry CO2,0.0
1844,Cement CO2,0.0
1844,Coal CO2,0.141423
1844,Gas CO2,0.0
1844,Oil CO2,0.0
1844,Flaring CO2,0.0
1844,Other Industry CO2,0.0
1845,Cement CO2,0.0
1845,Coal CO2,0.15521100000000002
1845,Gas CO2,0.0
1845,Oil CO2,0.0
1845,Flaring CO2,0.0
1845,Other Industry CO2,0.0
1846,Cement CO2,0.0
1846,Coal CO2,0.15779400000000002
1846,Gas CO2,0.0
1846,Oil CO2,0.0
1846,Flaring CO2,0.0
1846,Other Industry CO2,0.0
1847,Cement CO2,0.0
1847,Coal CO2,0.172402
1847,Gas CO2,0.0
1847,Oil CO2,0.0
1847,Flaring CO2,0.0
1847,Other Industry CO2,0.0
1848,Cement CO2,0.0
1848,Coal CO2,0.173816
1848,Gas CO2,0.0
1848,Oil CO2,0.0
1848,Flaring CO2,0.0
1848,Other Industry CO2,0.0
1849,Cement CO2,0.0
1849,Coal CO2,0.183511
1849,Gas CO2,0.0
1849,Oil CO2,0.0
1849,Flaring CO2,0.0
1849,Other Industry CO2,0.0
1850,Cement CO2,0.0
1850,Coal CO2,0.196896
1850,Gas CO2,0.0
1850,Oil CO2,0.0
1850,Flaring CO2,0.0
1850,Other Industry CO2,0.0
